date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:04:44	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Dec%202021%2008:04:45%20GMT	https://robuxportal.com/robots.txt		(from )
09:04:44	6243/6243	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Jul%202021%2007:31:31%20GMT	https://robuxportal.com/	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/index.html	(from )
09:04:44	9138/9138	---MCZ	200	added ('OK')	application/javascript	etag:W/%222d763adca2b6a93c45e5b76bff1f8c5d%22	https://cdn.onesignal.com/sdks/OneSignalSDK.js	F:/robuxLP23/https___robuxportal.com_/cdn.onesignal.com/sdks/OneSignalSDK.js	(from https://robuxportal.com/)
09:04:45	155758/155758	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/bootstrap.min.css	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/bootstrap.min.css	(from https://robuxportal.com/)
09:04:45	27730/27730	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/devices.min.css	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/devices.min.css	(from https://robuxportal.com/)
09:04:45	4659/4659	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/main.css	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/main.css	(from https://robuxportal.com/)
09:04:45	525/525	---M--	200	added ('OK')	image/x-icon	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/favicon.ico	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/favicon.ico	(from https://robuxportal.com/)
09:04:46	8375/8375	---M--	200	added ('OK')	image/png	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/LOGO.png	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/LOGO.png	(from https://robuxportal.com/)
09:04:46	9978/9978	---M--	200	added ('OK')	image/png	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/Robux.png	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/Robux.png	(from https://robuxportal.com/)
09:04:46	30171/30171	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/BOTTOM.jpg	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/BOTTOM.jpg	(from https://robuxportal.com/)
09:04:47	21004/21004	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/popper.min.js	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/popper.min.js	(from https://robuxportal.com/)
09:04:47	88468/88468	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/jquery-3.4.1.min.js	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/jquery-3.4.1.min.js	(from https://robuxportal.com/)
09:04:47	58072/58072	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/bootstrap.min.js	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/bootstrap.min.js	(from https://robuxportal.com/)
09:04:47	7545/7545	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/countUp.js	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/countUp.js	(from https://robuxportal.com/)
09:04:47	6126/6126	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/main.js	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/main.js	(from https://robuxportal.com/)
09:04:48	2781/2781	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Dec%202021%2008:04:49%20GMT	https://robuxportal.com/og.php?tool=cl&toolarg=s&id=f8272166c8f563e25c7b5131f3897881	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/og2309.php	(from https://robuxportal.com/)
09:04:49	32368/32368	---M--	200	added ('OK')	font/woff2	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/ClarikaGrotesque-Regular.woff2	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/ClarikaGrotesque-Regular.woff2	(from https://robuxportal.com/main.css)
09:04:49	47112/47112	---M--	200	added ('OK')	font/woff	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/ClarikaGrotesque-Regular.woff	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/ClarikaGrotesque-Regular.woff	(from https://robuxportal.com/main.css)
09:04:50	32596/32596	---M--	200	added ('OK')	font/woff2	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/ClarikaGrotesque-Bold.woff2	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/ClarikaGrotesque-Bold.woff2	(from https://robuxportal.com/main.css)
09:04:50	32128/32128	---M--	200	added ('OK')	font/woff2	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/ClarikaGrotesque-Medium.woff2	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/ClarikaGrotesque-Medium.woff2	(from https://robuxportal.com/main.css)
09:04:50	47572/47572	---M--	200	added ('OK')	font/woff	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/ClarikaGrotesque-Bold.woff	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/ClarikaGrotesque-Bold.woff	(from https://robuxportal.com/main.css)
09:04:51	47196/47196	---M--	200	added ('OK')	font/woff	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/ClarikaGrotesque-Medium.woff	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/ClarikaGrotesque-Medium.woff	(from https://robuxportal.com/main.css)
09:04:51	31660/31660	---M--	200	added ('OK')	font/woff2	date:Fri,%2021%20May%202021%2002:09:02%20GMT	https://robuxportal.com/ClarikaGrotesque-Light.woff2	F:/robuxLP23/https___robuxportal.com_/robuxportal.com/ClarikaGrotesque-Light.woff2	(from https://robuxportal.com/main.css)
